name,type,price,material,number_of_seats,colour,washable_cover
JÄTTEBO,chaise longue,33995,undetermined,1,beige,0
KIVIK,chaise longue,19895,undetermined,1,beige,0
VIMLE,chaise longue,30800,undetermined,1,black,0
JÄTTEBO,chaise longue,33995,undetermined,1,beige,0
LANDSKRONA,chaise longue,21995,undetermined,1,red,0
SÖDERHAMN,chaise longue,23395,undetermined,1,grey,0
GRÖNLID,chaise longue,37800,undetermined,1,grey,0
JÄTTEBO,chaise longue,28795,undetermined,1,yellow,0
JÄTTEBO,chaise longue,28795,undetermined,1,yellow,0
KIVIK,chaise longue,32995,undetermined,1,black,0
JÄTTEBO,chaise longue,62790,undetermined,1,beige,0
VIMLE,chaise longue,30200,undetermined,1,blue,0
VIMLE,chaise longue,29995,undetermined,1,black,0
LANDSKRONA,chaise longue,28495,undetermined,1,black,0
GRÖNLID,chaise longue,24100,undetermined,1,green,0
VIMLE,chaise longue,44995,undetermined,1,black,0
JÄTTEBO,chaise longue,34395,undetermined,1,yellow,0
KIVIK,chaise longue,19895,undetermined,1,black,0
KIVIK,chaise longue,18295,undetermined,1,grey,0
KIVIK,chaise longue,17995,undetermined,1,beige,0
VIMLE,chaise longue,33300,undetermined,1,red,0
VIMLE,chaise longue,30800,undetermined,1,blue,0
JÄTTEBO,chaise longue,34395,undetermined,1,yellow,0
LANDSKRONA,chaise longue,21995,undetermined,1,red,0
SÖDERHAMN,chaise longue,25295,undetermined,1,natural colour,0
SÖDERHAMN,chaise longue,25295,undetermined,1,grey,0
SÖDERHAMN,chaise longue,22895,undetermined,1,red,0
GRÖNLID,chaise longue,35500,undetermined,1,grey,0
GRÖNLID,chaise longue,34700,undetermined,1,red,0
JÄTTEBO,chaise longue,28795,undetermined,1,beige,0
JÄTTEBO,chaise longue,28795,undetermined,1,beige,0
JÄTTEBO,chaise longue,63190,undetermined,1,yellow,0
VIMLE,chaise longue,31500,undetermined,1,grey,0
VIMLE,chaise longue,29800,undetermined,1,black,0
LANDSKRONA,chaise longue,28495,undetermined,1,brown,0
VIMLE,chaise longue,31500,undetermined,1,beige,0
VIMLE,chaise longue,32100,undetermined,1,grey,0
LANDSKRONA,chaise longue,21995,undetermined,1,red,0
LANDSKRONA,chaise longue,21995,undetermined,1,red,0
SÖDERHAMN,chaise longue,25295,undetermined,1,beige,0
SÖDERHAMN,chaise longue,23995,undetermined,1,brown,0
GRÖNLID,chaise longue,35500,undetermined,1,green,0
GRÖNLID,chaise longue,34400,undetermined,1,white,0
GRÖNLID,chaise longue,37800,undetermined,1,natural colour,0
JÄTTEBO,chaise longue,28195,undetermined,1,grey,0
JÄTTEBO,chaise longue,61590,undetermined,1,grey,0
VIMLE,chaise longue,32300,undetermined,1,red,0
VIMLE,chaise longue,32300,undetermined,1,red,0
VIMLE,chaise longue,31500,undetermined,1,beige,0
LANDSKRONA,chaise longue,28495,undetermined,1,black,0
LANDSKRONA,chaise longue,28495,undetermined,1,brown,0
JÄTTEBO,chaise longue,33395,undetermined,1,grey,0
JÄTTEBO,chaise longue,33395,undetermined,1,grey,0
JÄTTEBO,chaise longue,28195,undetermined,1,grey,0
GRÖNLID,chaise longue,23400,undetermined,1,white,0
GRÖNLID,chaise longue,24100,undetermined,1,red,0
GRÖNLID,chaise longue,24100,undetermined,1,grey,0
GRÖNLID,chaise longue,24800,undetermined,1,grey,0
GRÖNLID,chaise longue,24800,undetermined,1,natural colour,0
JÃ„TTEBO,modular,161770,soft,7,beige,0
SÃ–DERHAMN,modular,75285,extra soft,6,grey,0
KIVIK,modular,29995,medium firm,2,grey,1
JÃ„TTEBO,modular,86685,soft,3,yellow,0
JÃ„TTEBO,modular,33995,undetermined,2,beige,0
GRÃ–NLID,modular,80785,extra soft,5,green,1
SÃ–DERHAMN,modular,24395,undetermined,3,grey,0
VIMLE,modular,33295,soft,3,beige,1
JÃ„TTEBO,modular,87985,soft,4,beige,0
KIVIK,modular,48290,medium firm,3,grey,1
KIVIK,modular,20995,medium firm,2,black,0
KIVIK,modular,32495,undetermined,2,grey,0
VIMLE,modular,13495,undetermined,1,grey,0
GRÃ–NLID,modular,21995,undetermined,2,white,0
JÃ„TTEBO,modular,23495,undetermined,1,yellow,0
JÃ„TTEBO,modular,28795,undetermined,2,yellow,0
GRÃ–NLID,modular,78685,extra soft,4,grey,1
KIVIK,modular,66690,medium firm,4,black,1
GRÃ–NLID,modular,37695,extra soft,2,natural colour,1
SÃ–DERHAMN,modular,69885,extra soft,4,grey,1
SÃ–DERHAMN,modular,37390,extra soft,3,grey,0
JÃ„TTEBO,modular,51790,soft,2,beige,0
VIMLE,modular,24695,undetermined,3,beige,0
JÃ„TTEBO,modular,55890,soft,2,grey,0
KIVIK,modular,80785,medium firm,5,grey,1
VIMLE,modular,34295,soft,3,blue,1
KIVIK,modular,30995,medium firm,3,beige,1
SÃ–DERHAMN,modular,44990,extra soft,2,natural colour,0
SÃ–DERHAMN,modular,54890,extra soft,4,natural colour,0
KIVIK,modular,94985,medium firm,6,grey,1
JÃ„TTEBO,modular,59890,soft,2,yellow,0
KIVIK,modular,92985,medium firm,7,beige,1
GRÃ–NLID,modular,19295,undetermined,2,green,0
SÃ–DERHAMN,modular,23395,undetermined,1,grey,0
SÃ–DERHAMN,modular,30395,extra soft,3,grey,0
JÃ„TTEBO,modular,33995,undetermined,2,beige,0
JÃ„TTEBO,modular,86185,soft,4,beige,0
JÃ„TTEBO,modular,62790,undetermined,2,beige,0
GRÃ–NLID,modular,35885,undetermined,2,red,0
VIMLE,modular,22900,undetermined,2,red,0
GRÃ–NLID,modular,26095,undetermined,3,green,0
GRÃ–NLID,modular,24100,undetermined,2,grey,0
SÃ–DERHAMN,modular,21195,undetermined,2,grey,0
SÃ–DERHAMN,modular,54285,extra soft,3,grey,0
SÃ–DERHAMN,modular,64785,extra soft,4,grey,0
JÃ„TTEBO,modular,18995,undetermined,1,grey,0
JÃ„TTEBO,modular,55390,soft,3,grey,0
GRÃ–NLID,modular,13595,undetermined,1,grey,0
JÃ„TTEBO,modular,92285,soft,3,yellow,0
VIMLE,modular,18095,undetermined,2,blue,0
SÃ–DERHAMN,modular,16895,undetermined,1,grey,0
JÃ„TTEBO,modular,77285,soft,2,beige,0
JÃ„TTEBO,modular,28795,undetermined,2,yellow,0
VIMLE,modular,25995,undetermined,2,black,0
VIMLE,modular,54195,soft,4,blue,1
VIMLE,modular,31995,undetermined,3,black,0
KIVIK,modular,54390,medium firm,4,beige,1
VIMLE,modular,19495,undetermined,1,black,0
JÃ„TTEBO,modular,70485,soft,4,beige,0
Ã„PPLARYD,modular,21995,undetermined,2,grey,0
VIMLE,modular,27495,undetermined,2,black,0
KIVIK,modular,79985,medium firm,6,beige,1
JÃ„TTEBO,modular,97080,soft,4,beige,0
JÃ„TTEBO,modular,124575,soft,6,grey,0
VIMLE,modular,50985,undetermined,2,black,0
VIMLE,modular,27995,soft,2,blue,1
GRÃ–NLID,modular,102785,extra soft,5,green,1
KIVIK,modular,44995,medium firm,2,black,0
KIVIK,modular,48995,medium firm,3,black,0
VIMLE,modular,76990,soft,4,black,0
VIMLE,modular,21195,undetermined,2,red,0
VIMLE,modular,49795,soft,3,black,1
VIMLE,modular,91885,soft,5,beige,1
VIMLE,modular,150470,soft,6,black,0
VIMLE,modular,68985,soft,4,grey,1
VIMLE,modular,76585,soft,5,red,1
KIVIK,modular,71690,medium firm,5,beige,1
VIMLE,modular,104780,soft,4,black,0
VIMLE,modular,55495,soft,3,red,1
VIMLE,modular,125980,soft,5,black,0
VIMLE,modular,28595,soft,2,black,1
KIVIK,modular,81990,medium firm,4,black,0
VIMLE,modular,47985,undetermined,2,black,0
VIMLE,modular,100485,soft,5,black,0
JÃ„TTEBO,modular,48390,soft,2,grey,0
VIMLE,modular,95985,soft,4,black,0
VIMLE,modular,96980,soft,4,black,0
KIVIK,modular,77990,medium firm,3,black,0
VIMLE,modular,88980,soft,3,black,0
SÃ–DERHAMN,modular,81185,extra soft,6,grey,1
SÃ–DERHAMN,modular,81885,extra soft,6,beige,0
KIVIK,modular,29495,medium firm,2,black,1
JÃ„TTEBO,modular,86285,soft,3,beige,0
GRÃ–NLID,modular,80785,extra soft,5,grey,1
SÃ–DERHAMN,modular,26295,undetermined,3,natural colour,0
SÃ–DERHAMN,modular,26295,undetermined,3,grey,0
SÃ–DERHAMN,modular,26295,undetermined,3,beige,0
VIMLE,modular,31995,soft,3,blue,1
JÃ„TTEBO,modular,88985,soft,4,yellow,0
KIVIK,modular,49390,medium firm,3,black,1
KIVIK,modular,37195,undetermined,2,black,0
KIVIK,modular,30995,undetermined,2,beige,0
VIMLE,modular,13995,undetermined,1,red,0
VIMLE,modular,13195,undetermined,1,black,0
VIMLE,modular,13495,undetermined,1,beige,0
VIMLE,modular,13195,undetermined,1,blue,0
GRÃ–NLID,modular,24695,undetermined,2,natural colour,0
GRÃ–NLID,modular,23995,undetermined,2,grey,0
JÃ„TTEBO,modular,28795,undetermined,2,beige,0
VIMLE,modular,13995,undetermined,1,red,0
GRÃ–NLID,modular,24695,undetermined,2,grey,0
JÃ„TTEBO,modular,22495,undetermined,1,grey,0
GRÃ–NLID,modular,23995,undetermined,2,green,0
JÃ„TTEBO,modular,23495,undetermined,1,beige,0
GRÃ–NLID,modular,81685,extra soft,4,grey,1
GRÃ–NLID,modular,78685,extra soft,4,green,1
GRÃ–NLID,modular,35395,extra soft,2,green,1
GRÃ–NLID,modular,35395,extra soft,2,grey,1
GRÃ–NLID,modular,37695,extra soft,2,grey,1
SÃ–DERHAMN,modular,63785,extra soft,4,grey,0
SÃ–DERHAMN,modular,40890,extra soft,3,grey,1
SÃ–DERHAMN,modular,41590,extra soft,3,beige,0
VIMLE,modular,25395,undetermined,3,red,0
VIMLE,modular,23995,undetermined,3,blue,0
JÃ„TTEBO,modular,57890,soft,2,yellow,0
JÃ„TTEBO,modular,57490,soft,2,beige,0
KIVIK,modular,86585,medium firm,5,black,1
VIMLE,modular,35695,soft,3,beige,1
KIVIK,modular,34495,medium firm,3,beige,1
SÃ–DERHAMN,modular,40290,extra soft,2,grey,0
SÃ–DERHAMN,modular,44990,extra soft,2,grey,1
SÃ–DERHAMN,modular,55290,extra soft,4,grey,1
SÃ–DERHAMN,modular,50790,extra soft,4,grey,1
KIVIK,modular,103885,medium firm,6,black,0
JÃ„TTEBO,modular,59290,soft,2,beige,0
GRÃ–NLID,modular,18495,undetermined,2,white,0
VIMLE,modular,22200,undetermined,2,blue,0
GRÃ–NLID,modular,12895,undetermined,1,red,0
GRÃ–NLID,modular,12895,undetermined,1,grey,0
SÃ–DERHAMN,modular,25295,undetermined,2,natural colour,0
JÃ„TTEBO,modular,91485,soft,3,beige,0
SÃ–DERHAMN,modular,19995,undetermined,1,red,0
GRÃ–NLID,modular,35885,undetermined,2,grey,0
VIMLE,modular,22900,undetermined,2,red,0
GRÃ–NLID,modular,19295,undetermined,2,grey,0
SÃ–DERHAMN,modular,25295,undetermined,2,grey,0
SÃ–DERHAMN,modular,33695,extra soft,3,grey,1
VIMLE,modular,20595,undetermined,2,red,0
GRÃ–NLID,modular,24795,undetermined,3,white,0
GRÃ–NLID,modular,19295,undetermined,2,grey,0
GRÃ–NLID,modular,19295,undetermined,2,red,0
GRÃ–NLID,modular,24100,undetermined,2,red,0
SÃ–DERHAMN,modular,19695,undetermined,1,natural colour,0
SÃ–DERHAMN,modular,70885,extra soft,4,grey,1
JÃ„TTEBO,modular,57390,soft,3,beige,0
SÃ–DERHAMN,modular,32895,extra soft,3,natural colour,1
SÃ–DERHAMN,modular,60585,extra soft,3,grey,1
SÃ–DERHAMN,modular,21895,undetermined,2,beige,0
JÃ„TTEBO,modular,86985,soft,4,yellow,0
JÃ„TTEBO,modular,63190,undetermined,2,yellow,0
VIMLE,modular,18095,undetermined,2,black,0
VIMLE,modular,22200,undetermined,2,black,0
GRÃ–NLID,modular,12095,undetermined,1,white,0
JÃ„TTEBO,modular,58190,soft,3,yellow,0
JÃ„TTEBO,modular,28195,undetermined,1,grey,0
SÃ–DERHAMN,modular,21195,undetermined,2,brown,0
GRÃ–NLID,modular,24800,undetermined,2,grey,0
GRÃ–NLID,modular,26095,undetermined,3,grey,0
SÃ–DERHAMN,modular,19695,undetermined,1,grey,0
SÃ–DERHAMN,modular,61285,extra soft,3,beige,0
SÃ–DERHAMN,modular,71585,extra soft,4,beige,0
VIMLE,modular,20595,undetermined,2,red,0
VIMLE,modular,22900,undetermined,2,grey,0
SÃ–DERHAMN,modular,33695,extra soft,3,beige,0
JÃ„TTEBO,modular,33395,undetermined,1,grey,0
JÃ„TTEBO,modular,28795,undetermined,2,beige,0
SÃ–DERHAMN,modular,16495,undetermined,1,red,0
GRÃ–NLID,modular,13595,undetermined,1,natural colour,0
KIVIK,modular,48990,medium firm,4,beige,1
SÃ–DERHAMN,modular,19695,undetermined,1,beige,0
SÃ–DERHAMN,modular,20495,undetermined,1,grey,0
JÃ„TTEBO,modular,19795,undetermined,1,beige,0
JÃ„TTEBO,modular,67485,soft,4,grey,0
JÃ„TTEBO,modular,156370,soft,7,grey,0
JÃ„TTEBO,modular,163370,soft,7,yellow,0
SÃ–DERHAMN,modular,78785,extra soft,6,brown,1
KIVIK,modular,27995,medium firm,2,beige,1
KIVIK,modular,31495,medium firm,2,beige,1
JÃ„TTEBO,modular,84085,soft,3,grey,0
JÃ„TTEBO,modular,33395,undetermined,1,grey,0
GRÃ–NLID,modular,83685,extra soft,5,grey,1
GRÃ–NLID,modular,79985,extra soft,5,red,1
GRÃ–NLID,modular,76285,extra soft,5,white,1
GRÃ–NLID,modular,83685,extra soft,5,natural colour,1
SÃ–DERHAMN,modular,24995,undetermined,3,brown,0
VIMLE,modular,34795,soft,3,red,1
VIMLE,modular,31595,soft,3,black,1
VIMLE,modular,33295,soft,3,grey,1
VIMLE,modular,34795,soft,3,red,1
JÃ„TTEBO,modular,85385,soft,4,grey,0
KIVIK,modular,51390,medium firm,3,beige,1
KIVIK,modular,45990,medium firm,3,beige,1
KIVIK,modular,37195,undetermined,2,beige,0
JÃ„TTEBO,modular,28195,undetermined,1,grey,0
GRÃ–NLID,modular,23995,undetermined,2,red,0
GRÃ–NLID,modular,73485,extra soft,4,white,1
GRÃ–NLID,modular,81685,extra soft,4,natural colour,1
GRÃ–NLID,modular,77885,extra soft,4,red,1
KIVIK,modular,68690,medium firm,4,beige,1
GRÃ–NLID,modular,34595,extra soft,2,red,1
GRÃ–NLID,modular,32995,extra soft,2,white,1
SÃ–DERHAMN,modular,70585,extra soft,4,beige,1
SÃ–DERHAMN,modular,67985,extra soft,4,brown,1
JÃ„TTEBO,modular,50190,soft,2,grey,0
JÃ„TTEBO,modular,52790,soft,2,yellow,0
VIMLE,modular,25395,undetermined,3,red,0
VIMLE,modular,23995,undetermined,3,black,0
VIMLE,modular,24695,undetermined,3,grey,0
KIVIK,modular,76985,medium firm,5,beige,1
KIVIK,modular,88585,medium firm,5,beige,1
VIMLE,modular,30595,soft,2,red,1
VIMLE,modular,29095,soft,2,grey,1
VIMLE,modular,27595,soft,2,black,1
VIMLE,modular,30595,soft,2,red,1
VIMLE,modular,29095,soft,2,beige,0
VIMLE,modular,36795,soft,3,red,1
VIMLE,modular,36795,soft,3,red,1
VIMLE,modular,35695,soft,3,grey,1
VIMLE,modular,33895,soft,3,black,1
KIVIK,modular,32995,medium firm,3,grey,1
SÃ–DERHAMN,modular,44990,extra soft,2,beige,1
SÃ–DERHAMN,modular,42990,extra soft,2,brown,1
SÃ–DERHAMN,modular,52790,extra soft,4,brown,1
SÃ–DERHAMN,modular,55290,extra soft,4,beige,0
SÃ–DERHAMN,modular,49990,undetermined,4,red,0
KIVIK,modular,89985,medium firm,6,beige,1
KIVIK,modular,105885,medium firm,6,beige,0
JÃ„TTEBO,modular,57690,soft,2,grey,0
KIVIK,modular,97985,medium firm,7,grey,1
KIVIK,modular,108885,medium firm,7,beige,0
GRÃ–NLID,modular,12895,undetermined,1,green,0
GRÃ–NLID,modular,26095,undetermined,3,red,0
JÃ„TTEBO,modular,61590,undetermined,1,grey,0
VIMLE,modular,51995,soft,3,beige,1
VIMLE,modular,57695,soft,4,red,1
VIMLE,modular,70085,soft,5,blue,1
GRÃ–NLID,modular,19295,undetermined,2,natural colour,0
GRÃ–NLID,modular,35885,undetermined,2,green,0
GRÃ–NLID,modular,36485,undetermined,2,natural colour,0
SÃ–DERHAMN,modular,18995,undetermined,1,brown,1
VIMLE,modular,21195,undetermined,2,red,0
VIMLE,modular,20495,undetermined,2,grey,0
VIMLE,modular,52095,soft,3,black,1
VIMLE,modular,72385,soft,4,red,1
VIMLE,modular,66085,soft,4,blue,1
VIMLE,modular,87885,soft,5,black,1
Ã„PPLARYD,modular,21995,undetermined,2,grey,0
GRÃ–NLID,modular,24800,undetermined,2,natural colour,0
KIVIK,modular,51290,medium firm,4,grey,1
JÃ„TTEBO,modular,74885,soft,2,grey,0
VIMLE,modular,53495,soft,3,red,1
VIMLE,modular,95285,soft,5,red,1
VIMLE,modular,73185,soft,5,beige,0
VIMLE,modular,73185,soft,5,grey,1
KIVIK,modular,83785,medium firm,6,grey,1
JÃ„TTEBO,modular,19795,undetermined,1,yellow,0
JÃ„TTEBO,modular,70485,soft,4,yellow,0
VIMLE,modular,54395,soft,3,beige,1
VIMLE,modular,56195,soft,4,beige,1
VIMLE,modular,69685,soft,5,black,1
GRÃ–NLID,modular,32185,undetermined,2,white,0
GRÃ–NLID,modular,32885,undetermined,2,green,0
JÃ„TTEBO,modular,89285,soft,3,grey,0
JÃ„TTEBO,modular,77685,soft,2,yellow,0
VIMLE,modular,19995,undetermined,2,black,0
VIMLE,modular,19395,undetermined,2,beige,0
VIMLE,modular,22900,undetermined,2,beige,0
VIMLE,modular,55495,soft,3,red,1
VIMLE,modular,51995,soft,3,grey,1
VIMLE,modular,65685,soft,4,black,1
VIMLE,modular,76585,soft,5,red,1
GRÃ–NLID,modular,32885,undetermined,2,red,0
SÃ–DERHAMN,modular,32595,extra soft,3,brown,1
VIMLE,modular,50195,soft,3,blue,1
VIMLE,modular,72385,soft,4,red,1
GRÃ–NLID,modular,23400,undetermined,2,white,0
GRÃ–NLID,modular,26695,undetermined,3,natural colour,0
GRÃ–NLID,modular,24100,undetermined,2,green,0
SÃ–DERHAMN,modular,25295,undetermined,2,beige,0
VIMLE,modular,68985,soft,4,beige,1
VIMLE,modular,91885,soft,5,grey,1
GRÃ–NLID,modular,32885,undetermined,2,grey,0
JÃ„TTEBO,modular,93880,soft,4,grey,0
KIVIK,modular,91585,medium firm,6,beige,1
VIMLE,modular,20495,undetermined,2,beige,0
VIMLE,modular,54395,soft,3,grey,1
VIMLE,modular,57695,soft,4,red,1
VIMLE,modular,56195,soft,4,grey,1
VIMLE,modular,53795,soft,4,black,1
VIMLE,modular,88285,soft,5,blue,1
GRÃ–NLID,modular,33485,undetermined,2,natural colour,0
JÃ„TTEBO,modular,83585,soft,4,grey,0
VIMLE,modular,19995,undetermined,2,blue,0
VIMLE,modular,19395,undetermined,2,grey,0
VIMLE,modular,53495,soft,3,red,1
VIMLE,modular,52495,soft,3,blue,1
VIMLE,modular,95285,soft,5,red,1
GRÃ–NLID,modular,26695,undetermined,3,grey,0
JÃ„TTEBO,modular,97480,soft,4,yellow,0
GRÃ–NLID,modular,35185,undetermined,2,white,0
SÃ–DERHAMN,modular,74185,undetermined,6,red,0
JÃ„TTEBO,modular,34395,undetermined,2,yellow,0
SÃ–DERHAMN,modular,23895,undetermined,3,red,0
KIVIK,modular,19495,medium firm,2,grey,0
KIVIK,modular,17495,medium firm,2,beige,0
KIVIK,modular,20995,medium firm,2,beige,0
KIVIK,modular,62490,medium firm,4,grey,1
KIVIK,modular,58990,medium firm,4,beige,1
SÃ–DERHAMN,modular,62585,undetermined,4,red,0
SÃ–DERHAMN,modular,36490,undetermined,3,red,0
SÃ–DERHAMN,modular,40190,extra soft,3,brown,1
SÃ–DERHAMN,modular,39390,undetermined,2,red,0
SÃ–DERHAMN,modular,22895,undetermined,1,red,0
SÃ–DERHAMN,modular,23995,undetermined,2,brown,0
SÃ–DERHAMN,modular,30295,undetermined,3,red,0
JÃ„TTEBO,modular,34395,undetermined,2,yellow,0
SÃ–DERHAMN,modular,52985,undetermined,3,red,0
SÃ–DERHAMN,modular,59185,extra soft,3,brown,1
SÃ–DERHAMN,modular,63585,undetermined,4,red,0
SÃ–DERHAMN,modular,68985,extra soft,4,brown,1
JÃ„TTEBO,modular,130575,soft,6,yellow,0
JÃ„TTEBO,modular,129375,soft,6,beige,0
GRÃ–NLID,modular,96885,extra soft,5,white,1
GRÃ–NLID,modular,101985,extra soft,5,red,1
GRÃ–NLID,modular,102785,extra soft,5,grey,1
GRÃ–NLID,modular,106485,extra soft,5,grey,1
GRÃ–NLID,modular,106485,extra soft,5,natural colour,1
KIVIK,modular,65490,medium firm,5,grey,1
KIVIK,modular,61990,medium firm,5,beige,1
VIMLE,modular,31595,soft,2,red,1
VIMLE,modular,29095,soft,2,beige,1
VIMLE,modular,29695,soft,2,grey,1
VIMLE,modular,28595,soft,2,blue,1
JÃ„TTEBO,modular,50790,soft,2,yellow,0
JÃ„TTEBO,modular,49990,soft,2,beige,0
ÄLVDALEN,sofa bed,18995,undetermined,3,beige,0
BÅRSLÖV,sofa bed,34995,undetermined,3,beige,0
