name,type,price,material,number_of_seats,colour,washable_cover
LANDSKRONA,leather,58990,medium firm,3,black,0
LANDSKRONA,fabric,45990,medium firm,3,red,0
LANDSKRONA,fabric,45990,medium firm,3,red,0
VIMLE,fabric,56495,soft,3,red,1
VIMLE,fabric,53095,soft,3,black,1
VIMLE,fabric,54995,soft,3,grey,1
VIMLE,fabric,53095,soft,3,blue,1
VIMLE,fabric,54395,soft,3,beige,1
PÃ„RUP,fabric,27695,soft,3,red,1
PÃ„RUP,fabric,27695,soft,3,red,1
PÃ„RUP,fabric,24995,soft,3,grey,1
PÃ„RUP,fabric,24495,undetermined,3,brown,0
Ã„PPLARYD,fabric,53990,medium firm,3,grey,0
LANDSKRONA,fabric,26495,medium firm,3,red,0
VINLIDEN,fabric,47495,extra soft,3,beige,1
VINLIDEN,fabric,47495,extra soft,3,turquoise,1
VINLIDEN,fabric,48495,extra soft,3,red,1
GRÃ–NLID,fabric,79795,extra soft,4,white,1
GRÃ–NLID,fabric,83595,extra soft,4,green,1
GRÃ–NLID,fabric,83595,extra soft,4,grey,1
GRÃ–NLID,fabric,87295,extra soft,4,grey,1
GRÃ–NLID,fabric,87295,extra soft,4,natural colour,1
GRÃ–NLID,fabric,43185,extra soft,2,white,1
GRÃ–NLID,fabric,44285,extra soft,2,green,1
GRÃ–NLID,fabric,43485,extra soft,2,red,1
GRÃ–NLID,fabric,44285,extra soft,2,grey,1
GRÃ–NLID,fabric,46485,extra soft,2,natural colour,1
VIMLE,fabric,96285,soft,5,red,1
VIMLE,fabric,92485,soft,5,grey,1
VIMLE,fabric,88885,soft,5,black,1
VIMLE,fabric,88885,soft,5,blue,0
GRÃ–NLID,fabric,82795,extra soft,4,red,1
VIMLE,fabric,50795,soft,3,black,1
VIMLE,fabric,54495,soft,3,red,1
VIMLE,fabric,51995,soft,3,beige,1
VIMLE,fabric,50795,soft,3,blue,1
VIMLE,fabric,52595,soft,3,grey,1
VIMLE,fabric,73385,soft,4,red,1
VIMLE,fabric,68985,soft,4,beige,1
VIMLE,fabric,69585,soft,4,grey,1
VIMLE,fabric,66685,soft,4,black,1
VIMLE,fabric,91885,soft,5,beige,0
VISKAFORS,fabric,47495,extra soft,3,black,0
VISKAFORS,fabric,47495,extra soft,3,beige,0
GRÃ–NLID,fabric,107075,extra soft,5,white,1
GRÃ–NLID,fabric,111675,extra soft,5,green,1
GRÃ–NLID,fabric,110875,extra soft,5,red,1
GRÃ–NLID,fabric,111675,extra soft,5,grey,1
GRÃ–NLID,fabric,115275,extra soft,5,natural colour,1
GRÃ–NLID,fabric,55280,extra soft,3,white,1
GRÃ–NLID,fabric,57180,extra soft,3,green,1
GRÃ–NLID,fabric,59380,extra soft,3,red,1
GRÃ–NLID,fabric,60180,extra soft,3,grey,1
GRÃ–NLID,fabric,59195,extra soft,4,white,1
GRÃ–NLID,fabric,61595,extra soft,4,green,1
GRÃ–NLID,fabric,60795,extra soft,4,red,1
GRÃ–NLID,fabric,61595,extra soft,4,grey,1
GRÃ–NLID,fabric,64495,extra soft,4,grey,1
GRÃ–NLID,fabric,63080,extra soft,3,natural colour,1
LANDSKRONA,fabric,67985,undetermined,4,red,0
LANDSKRONA,fabric,26495,medium firm,3,red,0
VIMLE,fabric,66685,soft,4,blue,1
GRÃ–NLID,fabric,64495,extra soft,4,natural colour,1
GRÃ–NLID,fabric,67585,extra soft,3,red,1
GRÃ–NLID,fabric,68385,extra soft,3,grey,1
GRÃ–NLID,fabric,71285,extra soft,3,natural colour,1
GRÃ–NLID,fabric,71385,extra soft,3,green,1
Ã„PPLARYD,fabric,31995,medium firm,2,grey,0
VISKAFORS,fabric,47495,extra soft,3,brown,0
VISKAFORS,fabric,47495,extra soft,3,brown,0
LANDSKRONA,fabric,67985,undetermined,4,red,0
HYLTARP,fabric,37795,undetermined,3,brown,1
HYLTARP,fabric,37795,undetermined,3,natural colour,1
HYLTARP,fabric,34795,undetermined,3,blue,1
HYLTARP,fabric,34795,undetermined,3,white,0
HYLTARP,fabric,37795,undetermined,3,grey,1
VINLIDEN,fabric,35895,extra soft,2,beige,1
VINLIDEN,fabric,35895,extra soft,2,turquoise,1
VINLIDEN,fabric,37195,extra soft,2,red,1
EKENÄSET,fabric,21995,firm,3,beige,0
GRÖNLID,fabric,102785,extra soft,5,green,1
LANDSKRONA,fabric,45990,medium firm,3,red,0
PÄRUP,fabric,27695,soft,3,red,1
PÄRUP,fabric,22495,soft,3,green,1
PÄRUP,fabric,24995,soft,3,grey,1
PÄRUP,fabric,24495,undetermined,3,brown,0
PÄRUP,fabric,27695,soft,3,red,1
HYLTARP,fabric,51995,undetermined,3,grey,0
HYLTARP,fabric,51995,undetermined,3,brown,0
HYLTARP,fabric,51995,undetermined,3,natural colour,0
HYLTARP,fabric,48995,undetermined,3,white,0
HYLTARP,fabric,48995,undetermined,3,blue,0
VINLIDEN,fabric,43195,extra soft,3,beige,1
VINLIDEN,fabric,43195,extra soft,3,grey,1
VINLIDEN,fabric,44495,extra soft,3,red,1
VINLIDEN,fabric,47495,extra soft,3,grey,1
HYLTARP,fabric,66995,undetermined,4,grey,1
HYLTARP,fabric,66995,undetermined,4,brown,1
HYLTARP,fabric,66995,undetermined,4,natural colour,1
HYLTARP,fabric,63995,undetermined,4,white,0
HYLTARP,fabric,63995,undetermined,4,blue,1
BACKSÄLEN,fabric,23995,medium firm,2,white,1
BACKSÄLEN,fabric,25495,medium firm,2,grey,1
HYLTARP,fabric,33795,undetermined,2,grey,1
GRÖNLID,fabric,35795,extra soft,3,white,1
GRÖNLID,fabric,37495,extra soft,3,green,1
GRÖNLID,fabric,36695,extra soft,3,red,1
GRÖNLID,fabric,39695,extra soft,3,grey,1
GRÖNLID,fabric,39695,extra soft,3,natural colour,1
BACKSÄLEN,fabric,27495,medium firm,3,white,1
BACKSÄLEN,fabric,28795,medium firm,3,natural colour,1
BACKSÄLEN,fabric,28795,medium firm,3,grey,1
SÖDERHAMN,fabric,58990,extra soft,4,grey,1
SÖDERHAMN,fabric,58990,extra soft,4,beige,0
SÖDERHAMN,fabric,58190,extra soft,4,natural colour,0
SÖDERHAMN,fabric,53190,undetermined,4,red,0
SÖDERHAMN,fabric,56590,undetermined,4,brown,0
SÖDERHAMN,fabric,53790,extra soft,4,grey,0
PÄRUP,fabric,20795,soft,2,red,1
PÄRUP,fabric,16195,soft,2,green,1
PÄRUP,fabric,18195,soft,2,grey,1
PÄRUP,fabric,17795,undetermined,2,brown,0
PÄRUP,fabric,20795,soft,2,red,1
VIMLE,fabric,35795,soft,3,red,1
VIMLE,fabric,33895,soft,3,grey,1
VIMLE,fabric,32595,soft,3,black,1
VIMLE,fabric,32595,soft,3,blue,1
ESSEBODA,fabric,39395,extra soft,3,beige,0
ESSEBODA,fabric,41395,extra soft,3,blue,0
ESSEBODA,fabric,41395,extra soft,3,grey,0
ESSEBODA,fabric,39395,extra soft,3,black,0
ESSEBODA,fabric,39395,extra soft,3,brown,0
ESSEBODA,fabric,41395,extra soft,3,brown,0
ESSEBODA,fabric,41395,extra soft,3,brown,0
ESSEBODA,fabric,39395,extra soft,3,brown,0
SMEDSTORP,fabric,49295,medium firm,3,blue,0
SMEDSTORP,fabric,49295,medium firm,3,red,0
SMEDSTORP,fabric,49295,medium firm,3,brown,0
SMEDSTORP,fabric,49295,medium firm,3,grey,0
SMEDSTORP,fabric,49295,medium firm,3,black,0
SMEDSTORP,fabric,49295,medium firm,3,grey,0
SMEDSTORP,fabric,49295,medium firm,3,brown,0
SMEDSTORP,fabric,49295,medium firm,3,red,0
LANDSKRONA,fabric,48490,medium firm,4,red,0
SMEDSTORP,fabric,50795,medium firm,4,blue,0
SMEDSTORP,fabric,50795,medium firm,4,grey,0
SMEDSTORP,fabric,50795,medium firm,4,brown,0
SMEDSTORP,fabric,50795,medium firm,4,black,0
SMEDSTORP,fabric,50795,medium firm,4,grey,0
SMEDSTORP,fabric,50795,medium firm,4,red,0
SMEDSTORP,fabric,50795,medium firm,4,red,0
SMEDSTORP,fabric,50795,medium firm,4,brown,0
ESSEBODA,fabric,33395,extra soft,2,black,0
ESSEBODA,fabric,36395,extra soft,2,blue,0
ESSEBODA,fabric,36395,extra soft,2,grey,0
ESSEBODA,fabric,33395,extra soft,2,brown,0
ESSEBODA,fabric,36395,extra soft,2,brown,0
ESSEBODA,fabric,36395,extra soft,2,brown,0
ESSEBODA,fabric,33395,extra soft,2,brown,0
ESSEBODA,fabric,33395,extra soft,2,beige,0
EKENÄSET,fabric,16995,firm,2,beige,0
LANDSKRONA,fabric,70485,medium firm,5,red,0
KLIPPAN,fabric,13595,undetermined,2,black,0
KLIPPAN,fabric,12995,soft,2,yellow,1
VINLIDEN,fabric,35895,extra soft,2,grey,1
HYLTARP,fabric,33795,undetermined,2,brown,1
HYLTARP,fabric,33795,undetermined,2,natural colour,0
HYLTARP,fabric,30795,undetermined,2,white,0
BACKSÄLEN,fabric,25495,medium firm,2,natural colour,1
VISKAFORS,fabric,47495,extra soft,3,grey,0
VINLIDEN,fabric,43195,extra soft,3,turquoise,1
HYLTARP,fabric,30795,undetermined,2,blue,1
HYLTARP,fabric,51995,undetermined,3,grey,0
HYLTARP,fabric,51995,undetermined,3,natural colour,0
HYLTARP,fabric,48995,undetermined,3,white,0
HYLTARP,fabric,48995,undetermined,3,blue,0
LANDSKRONA,fabric,26495,medium firm,3,red,0
HYLTARP,fabric,51995,undetermined,3,brown,0
LANDSKRONA,fabric,67985,undetermined,4,red,0
GRÖNLID,fabric,56395,extra soft,3,white,1
GRÖNLID,fabric,59495,extra soft,3,green,1
GRÖNLID,fabric,58695,extra soft,3,red,1
GRÖNLID,fabric,59495,extra soft,3,grey,1
GRÖNLID,fabric,62495,extra soft,3,natural colour,1
LANDSKRONA,fabric,23995,medium firm,2,red,0
PÄRUP,fabric,30195,soft,3,red,1
PÄRUP,fabric,24995,soft,3,green,1
PÄRUP,fabric,27695,soft,3,grey,1
PÄRUP,fabric,26995,undetermined,3,brown,0
PÄRUP,fabric,40495,soft,4,red,1
PÄRUP,fabric,34995,soft,4,green,1
PÄRUP,fabric,38495,soft,4,grey,1
PÄRUP,fabric,37995,undetermined,4,brown,0
LINANÄS,fabric,23995,firm,3,beige,0
JÄTTEBO,fabric,48390,soft,2,grey,0
EKTORP,fabric,23495,undetermined,3,grey,0
EKTORP,fabric,25995,undetermined,3,beige,0
EKTORP,fabric,24995,undetermined,3,blue,0
EKTORP,fabric,24995,undetermined,3,beige,0
FRÖSLÖV,fabric,29995,soft,3,grey,0
LINANÄS,fabric,18995,firm,3,grey,0
LINANÄS,fabric,14495,firm,2,grey,0
VISKAFORS,fabric,39495,extra soft,2,brown,0
VISKAFORS,fabric,39495,extra soft,2,brown,0
VIMLE,fabric,37795,soft,3,red,1
VIMLE,fabric,35695,soft,3,beige,1
VIMLE,fabric,36295,soft,3,grey,1
VIMLE,fabric,34895,soft,3,black,1
SMEDSTORP,fabric,27695,medium firm,2,blue,0
SMEDSTORP,fabric,27695,medium firm,2,red,0
SMEDSTORP,fabric,27695,medium firm,2,brown,0
SMEDSTORP,fabric,29195,medium firm,3,blue,0
SMEDSTORP,fabric,29195,medium firm,3,grey,0
SMEDSTORP,fabric,29195,medium firm,3,red,0
KIVIK,fabric,69190,medium firm,5,black,1
KIVIK,fabric,89085,medium firm,6,black,1
ÄPPLARYD,fabric,58990,medium firm,4,grey,0
GRÖNLID,fabric,37495,extra soft,3,grey,1
JÄTTEBO,fabric,124575,soft,6,grey,0
VIMLE,fabric,58695,soft,4,red,1
VIMLE,fabric,56195,soft,4,beige,1
VIMLE,fabric,56795,soft,4,grey,1
VIMLE,fabric,54795,soft,4,black,1
VIMLE,fabric,33295,soft,3,beige,1
ÄPPLARYD,fabric,36995,medium firm,3,grey,0
LANDSKRONA,fabric,48490,medium firm,4,red,0
EKENÄSET,fabric,18495,firm,2,grey,0
LANDSKRONA,fabric,70485,medium firm,5,red,0
KLIPPAN,fabric,12995,soft,2,grey,1
EKENÄSET,fabric,23995,firm,3,grey,0
LANDSKRONA,fabric,45990,medium firm,3,red,0
KIVIK,fabric,106385,medium firm,7,black,0
ÄPPLARYD,fabric,53990,medium firm,3,grey,0
VISKAFORS,fabric,47495,extra soft,3,brown,0
GRÖNLID,fabric,79795,extra soft,4,white,1
GRÖNLID,fabric,83595,extra soft,4,green,1
GRÖNLID,fabric,82795,extra soft,4,red,1
GRÖNLID,fabric,83595,extra soft,4,grey,1
GRÖNLID,fabric,87295,extra soft,4,natural colour,1
LANDSKRONA,fabric,67985,undetermined,4,red,0
ÄPPLARYD,fabric,31995,medium firm,2,grey,0
LANDSKRONA,fabric,26495,medium firm,3,red,0
GRÖNLID,fabric,59195,extra soft,4,white,1
GRÖNLID,fabric,61595,extra soft,4,green,1
GRÖNLID,fabric,60795,extra soft,4,red,1
GRÖNLID,fabric,64495,extra soft,4,grey,1
GRÖNLID,fabric,64495,extra soft,4,natural colour,1
EKTORP,fabric,19995,undetermined,2,grey,0
EKTORP,fabric,22495,undetermined,2,beige,0
EKTORP,fabric,21495,undetermined,2,blue,0
EKTORP,fabric,21495,undetermined,2,beige,0
EKTORP,fabric,32995,undetermined,3,grey,0
EKTORP,fabric,35495,undetermined,3,beige,0
EKTORP,fabric,34595,undetermined,3,blue,0
EKTORP,fabric,34595,undetermined,3,beige,0
VIMLE,fabric,77585,soft,5,red,1
VIMLE,fabric,73185,soft,5,beige,1
VIMLE,fabric,70685,soft,5,black,1
VIMLE,fabric,70685,soft,5,blue,1
GRÖNLID,fabric,62495,extra soft,3,grey,1
LANDSKRONA,fabric,23995,medium firm,2,red,0
PÄRUP,fabric,30195,soft,3,red,1
PÄRUP,fabric,40495,soft,4,red,1
LINANÄS,fabric,18995,firm,3,grey,0
EKTORP,fabric,23495,undetermined,3,grey,0
FRÖSLÖV,fabric,29995,soft,3,beige,0
LINANÄS,fabric,18995,firm,3,beige,0
LINANÄS,fabric,14495,firm,2,beige,0
VISKAFORS,fabric,39495,extra soft,2,brown,0
VISKAFORS,fabric,39495,extra soft,2,grey,0
VISKAFORS,fabric,39495,extra soft,2,beige,0
VISKAFORS,fabric,39495,extra soft,2,black,0
VIMLE,fabric,34895,soft,3,blue,1
SMEDSTORP,fabric,27695,medium firm,2,grey,0
SMEDSTORP,fabric,27695,medium firm,2,black,0
SMEDSTORP,fabric,27695,medium firm,2,grey,0
SMEDSTORP,fabric,27695,medium firm,2,red,0
SMEDSTORP,fabric,27695,medium firm,2,brown,0
SMEDSTORP,fabric,29195,medium firm,3,black,0
SMEDSTORP,fabric,29195,medium firm,3,grey,0
SMEDSTORP,fabric,29195,medium firm,3,red,0
SMEDSTORP,fabric,29195,medium firm,3,brown,0
SMEDSTORP,fabric,29195,medium firm,3,brown,0
VINLIDEN,fabric,43195,extra soft,3,beige,0
VINLIDEN,fabric,43195,extra soft,3,grey,0
VINLIDEN,fabric,43195,extra soft,3,turquoise,0
GRÖNLID,fabric,73485,extra soft,4,white,0
GRÖNLID,fabric,77885,extra soft,4,red,0
GRÖNLID,fabric,78685,extra soft,4,grey,0
GRÖNLID,fabric,81685,extra soft,4,grey,0
GRÖNLID,fabric,81685,extra soft,4,natural colour,0
KIVIK,fabric,51290,medium firm,4,grey,0
KIVIK,fabric,54390,medium firm,4,beige,0
GRÖNLID,fabric,43185,extra soft,2,white,0
GRÖNLID,fabric,44285,extra soft,2,green,0
GRÖNLID,fabric,43485,extra soft,2,red,0
GRÖNLID,fabric,44285,extra soft,2,grey,0
GRÖNLID,fabric,46485,extra soft,2,natural colour,0
GRÖNLID,fabric,71385,extra soft,3,green,0
GRÖNLID,fabric,67585,extra soft,3,red,0
GRÖNLID,fabric,68385,extra soft,3,grey,0
GRÖNLID,fabric,71285,extra soft,3,natural colour,0
VIMLE,fabric,49885,soft,2,red,0
VIMLE,fabric,47385,soft,2,beige,0
VIMLE,fabric,47985,soft,2,grey,0
VIMLE,fabric,49885,soft,2,black,0
GRÖNLID,fabric,56395,extra soft,3,white,0
GRÖNLID,fabric,59495,extra soft,3,green,0
GRÖNLID,fabric,58695,extra soft,3,red,0
GRÖNLID,fabric,59495,extra soft,3,grey,0
GRÖNLID,fabric,62495,extra soft,3,grey,0
GRÖNLID,fabric,62495,extra soft,3,natural colour,0
LANDSKRONA,fabric,23995,medium firm,2,red,0
LANDSKRONA,fabric,23995,medium firm,2,red,0
PÄRUP,fabric,30195,soft,3,red,0
PÄRUP,fabric,30195,soft,3,red,0
PÄRUP,fabric,27695,soft,3,grey,0
PÄRUP,fabric,40495,soft,4,red,0
PÄRUP,fabric,34995,soft,4,green,0
PÄRUP,fabric,38495,soft,4,grey,0
PÄRUP,fabric,40495,soft,4,red,0
VIMLE,fabric,30595,soft,2,red,0
VIMLE,fabric,29095,soft,2,grey,0
VIMLE,fabric,27595,soft,2,black,0
VIMLE,fabric,27995,soft,2,blue,0
VIMLE,fabric,30595,soft,2,red,0
VIMLE,fabric,37795,soft,3,red,0
VIMLE,fabric,35695,soft,3,beige,0
VIMLE,fabric,36295,soft,3,grey,0
VIMLE,fabric,34895,soft,3,blue,0
VIMLE,fabric,34895,soft,3,black,0
EKTORP,fabric,19995,undetermined,2,grey,0
KIVIK,fabric,61990,medium firm,5,beige,0
KIVIK,fabric,71690,medium firm,5,beige,0
KIVIK,fabric,65490,medium firm,5,grey,0
KIVIK,fabric,79985,medium firm,6,beige,0
KIVIK,fabric,91585,medium firm,6,beige,0
KIVIK,fabric,83785,medium firm,6,grey,0
KIVIK,fabric,48290,medium firm,3,grey,0
KIVIK,fabric,45990,medium firm,3,beige,0
KIVIK,fabric,49390,medium firm,3,black,0
KIVIK,fabric,51390,medium firm,3,beige,0
ÄPPLARYD,fabric,58990,medium firm,4,grey,0
KIVIK,fabric,62490,medium firm,4,grey,0
KIVIK,fabric,66690,medium firm,4,black,0
KIVIK,fabric,68690,medium firm,4,beige,0
KIVIK,fabric,58990,medium firm,4,beige,0
VIMLE,fabric,31595,soft,2,red,0
VIMLE,fabric,29095,soft,2,beige,0
VIMLE,fabric,29695,soft,2,grey,0
VIMLE,fabric,28595,soft,2,blue,0
VIMLE,fabric,28595,soft,2,black,0
GRÖNLID,fabric,35795,extra soft,3,white,0
GRÖNLID,fabric,37495,extra soft,3,green,0
GRÖNLID,fabric,36695,extra soft,3,red,0
GRÖNLID,fabric,37495,extra soft,3,grey,0
GRÖNLID,fabric,39695,extra soft,3,natural colour,0
GRÖNLID,fabric,39695,extra soft,3,grey,0
SÖDERHAMN,fabric,33695,extra soft,3,grey,0
SÖDERHAMN,fabric,32895,extra soft,3,natural colour,0
SÖDERHAMN,fabric,32595,extra soft,3,brown,0
VIMLE,fabric,58695,soft,4,red,0
VIMLE,fabric,56195,soft,4,beige,0
VIMLE,fabric,54795,soft,4,black,0
VIMLE,fabric,54795,soft,4,blue,0
VIMLE,fabric,56795,soft,4,grey,0
VIMLE,fabric,34795,soft,3,red,0
VIMLE,fabric,33295,soft,3,beige,0
VIMLE,fabric,33295,soft,3,grey,0
VIMLE,fabric,31595,soft,3,black,0
VIMLE,fabric,31995,soft,3,blue,0
VIMLE,fabric,34795,soft,3,red,0
SÖDERHAMN,fabric,69885,extra soft,4,grey,0
SÖDERHAMN,fabric,67985,extra soft,4,brown,0
SÖDERHAMN,fabric,70585,extra soft,4,beige,0
SÖDERHAMN,fabric,58990,extra soft,4,grey,0
PÄRUP,fabric,20795,soft,2,red,0
PÄRUP,fabric,16195,soft,2,green,0
PÄRUP,fabric,18195,soft,2,grey,0
PÄRUP,fabric,20795,soft,2,red,0
VIMLE,fabric,35795,soft,3,red,0
VIMLE,fabric,33295,soft,3,beige,0
VIMLE,fabric,33895,soft,3,grey,0
VIMLE,fabric,32595,soft,3,blue,0
VIMLE,fabric,32595,soft,3,black,0
KIVIK,fabric,29995,medium firm,2,grey,0
KIVIK,fabric,29495,medium firm,2,black,0
KIVIK,fabric,31495,medium firm,2,beige,0
KIVIK,fabric,27995,medium firm,2,beige,0
ÄPPLARYD,fabric,36995,medium firm,3,grey,0
VIMLE,fabric,113575,soft,5,red,0
VIMLE,fabric,113575,soft,5,red,0
VIMLE,fabric,110175,soft,5,beige,0
VIMLE,fabric,113175,soft,5,grey,0
VIMLE,fabric,109175,soft,5,black,0
VIMLE,fabric,109575,soft,5,blue,0
LANDSKRONA,fabric,48490,medium firm,4,red,0
LANDSKRONA,fabric,48490,medium firm,4,red,0
VIMLE,fabric,95285,soft,5,red,0
VIMLE,fabric,95285,soft,5,red,0
VIMLE,fabric,91885,soft,5,beige,0
VIMLE,fabric,91885,soft,5,grey,0
VIMLE,fabric,88285,soft,5,blue,0
VIMLE,fabric,87885,soft,5,black,0
EKTORP,fabric,32995,undetermined,3,grey,0
LANDSKRONA,fabric,70485,medium firm,5,red,0
KIVIK,fabric,30995,medium firm,3,beige,0
KIVIK,fabric,34495,medium firm,3,beige,0
LANDSKRONA,fabric,70485,medium firm,5,red,0
KIVIK,fabric,80785,medium firm,5,grey,0
KIVIK,fabric,86585,medium firm,5,black,0
KIVIK,fabric,88585,medium firm,5,beige,0
KIVIK,fabric,76985,medium firm,5,beige,0
KLIPPAN,fabric,12995,soft,2,grey,0
KLIPPAN,fabric,12995,soft,2,yellow,0
GRÖNLID,fabric,76285,extra soft,5,white,0
GRÖNLID,fabric,80785,extra soft,5,green,0
GRÖNLID,fabric,79985,extra soft,5,red,0
GRÖNLID,fabric,80785,extra soft,5,grey,0
GRÖNLID,fabric,83685,extra soft,5,natural colour,0
GRÖNLID,fabric,83685,extra soft,5,grey,0
VIMLE,fabric,52495,soft,3,blue,0
VIMLE,fabric,55495,soft,3,red,0
VIMLE,fabric,55495,soft,3,red,0
VIMLE,fabric,54395,soft,3,beige,0
VIMLE,fabric,54395,soft,3,grey,0
VIMLE,fabric,73185,soft,5,beige,0
VIMLE,fabric,73785,soft,5,grey,0
VIMLE,fabric,70685,soft,5,black,0
VIMLE,fabric,70685,soft,5,blue,0
VIMLE,fabric,52095,soft,3,black,0
VIMLE,fabric,77585,soft,5,red,0
GRÖNLID,fabric,96885,extra soft,5,white,0
GRÖNLID,fabric,101985,extra soft,5,red,0
GRÖNLID,fabric,102785,extra soft,5,grey,0
GRÖNLID,fabric,106485,extra soft,5,grey,0
GRÖNLID,fabric,106485,extra soft,5,natural colour,0
GRÖNLID,fabric,102785,extra soft,5,green,0
SÖDERHAMN,fabric,44990,extra soft,2,grey,0
SÖDERHAMN,fabric,42990,extra soft,2,brown,0
